TaxonId	matchedType	inputName	matchedName	matchedCanonicalForm	inputRank	matchedRank	synonymStatus	acceptedName	matchedEditDistance	matchedScore	matchTaxonID
147937	No match	Stephanoeca kentii Ellis, 1930			species				
149958	No match	Stephanoeca apheles Thomsen, Buck & Chavez, 1991			species				
149959	No match	Stephanoeca cupula (Leadbeater) Thomsen, 1988			species				
149960	No match	Stephanoeca norrisii Thomsen, 1973			species				
149961	No match	Stephanoeca urnula Thomsen, 1973			species				
149956	No match	Savillea micropora (Norris) Leadbeater, 1975			species				
149957	No match	Savillea parva (Ellis) Loeblich III, 1967			species				
149955	No match	Saroeca attenuata Thomsen, 1979			species				
149954	No match	Saepicula pulchra Leadbeater, 1980			species				
149953	No match	Polyoeca dichotoma (Kent, 1881)			species				
147933	No match	Polyfibula sphyrelata (Thomsen) Manton in Manton & Bremer, 1981			species				
147930	No match	Pleurasiga echinocostata Espeland in Espeland & Throndsen, 1986			species				
147931	No match	Pleurasiga minima Throndsen, 1970			species				
147932	No match	Pleurasiga reynoldsii Throndsen, 1970			species				
147929	Genus part match	Platypleura infundibuliformis (Leadbeater) Thomsen in Thomsen & Boonruang, 1983	Platypleura	Platypleura	species	genus		Platypleura	0	0.75	33662111
147927	No match	Parvicorbicula quadricostata Throndsen, 1970			species				
147928	No match	Parvicorbicula socialis (Meunier) Deflandre, 1960			species				
149951	No match	Parvicorbicula circularis Thomsen, 1976			species				
149952	No match	Parvicorbicula superpositus Booth, 1990			species				
149950	No match	Nannoeca minuta (Leadbeater) Thomsen, 1988			species				
149949	No match	Monocosta fennica Thomsen, 1979			species				
149948	Genus part match	Diplotheca costata Valkanov, 1970	Diplotheca	Diplotheca	species	genus		Diplotheca	0	0.75	33757453
147925	No match	Diaphanoeca grandis Ellis, 1930			species				
147926	No match	Diaphanoeca sphaerica Thomsen, 1982			species				
149946	No match	Diaphanoeca pedicellata Leadbeater, 1972			species				
149947	No match	Diaphanoeca undulata Thomsen, 1982			species				
147924	No match	Crucispina cruciformis Espeland in Espeland & Throndsen, 1986			species				
147923	No match	Crinolina isefiordensis Thomsen, 1976			species				
149945	No match	Crinolina aperta (Leadbeater) Thomsen			species				
149943	No match	Cosmoeca norvegica Thomsen in Thomsen & Boonruang, 1984			species				
149944	No match	Cosmoeca ventricosa Thomsen in Thomsen & Boonruang, 1984			species				
149942	No match	Amoenoscapa caudata			species				
149940	No match	Acanthoeca brevipoda Ellis, 1930			species				
149941	No match	Acanthoeca spectabilis Ellis, 1930			species				
147920	No match	Acanthocorbis asymmetrica (Thomsen) Hara & Takahashi, 1984			species				
147921	No match	Acanthocorbis campanula (Espeland) Thomsen in Thomsen, Buck & Chavez, 1991			species				
147922	No match	Acanthocorbis unguiculata (Thomsen) Hara & Takahashi, 1984			species				
149938	No match	Acanthocorbis apoda (Leadbeater) Hara & Takahashi, 1984			species				
149939	No match	Acanthocorbis haurakiana Thomsen in Thomsen, Buck & Chavez, 1991			species				
118268	No match	Stelexomonas			genus				
118270	No match	Salpingoeca			genus				
118273	Canonical form fuzzy match	Aulomonas	Allomonas	Allomonas	genus	genus		Allomonas	1	0.5	33632582
147603	No match	Bicosta			genus				
147604	No match	Calliacantha			genus				
147605	No match	Pachysoeca			genus				
150385	No match	Pachysoeca ruttneri (Bourr.) Fott			species				
150386	No match	Pachysoeca urnula (Skuja) ?			species				
147948	No match	Calliacantha natans (Grøntved) Leadbeater, 1978			species				
150382	No match	Calliacantha longicaudata (Leadbeater) Leadbeater, 1978			species				
150383	No match	Calliacantha multispina Manton & Oates			species				
150384	No match	Calliacantha simplex Manton & Oates, 1979			species				
147946	No match	Bicosta minor (Reynolds) Leadbeater, 1978			species				
147947	No match	Bicosta spinifera (Throndsen) Leadbeater, 1978			species				
150381	No match	Bicosta antennigera Moestrup, 1979			species				
118274	No match	Aulomonas purdyi Lackey			species				
118271	No match	Salpingoeca frequentissima (Zacharias) Lemmermann			species				
149806	No match	Salpingoeca aggregata Valkanov			species				
149807	No match	Salpingoeca amphoridium James-Clark			species				
149808	No match	Salpingoeca collaris Stokes			species				
149809	No match	Salpingoeca gracilis Clark			species				
149810	No match	Salpingoeca inquillata Kent			species				
149811	No match	Salpingoeca marina James-Clark			species				
149812	No match	Salpingoeca minuta Kent			species				
118269	No match	Stelexomonas dichotoma Lackey			species				
118263	No match	Codosiga			genus				
