taxonID,scientificName,matchedScientificName,matchedCanonicalForm,rank,matchedRank,matchType,editDistance,score
149945,Crinolina aperta (Leadbeater) Thomsen,,,species,,,,
149943,"Cosmoeca norvegica Thomsen in Thomsen & Boonruang, 1984",,,species,,,,
149944,"Cosmoeca ventricosa Thomsen in Thomsen & Boonruang, 1984",,,species,,,,
149942,Amoenoscapa caudata,,,species,,,,
149940,"Acanthoeca brevipoda Ellis, 1930",,,species,,,,
149941,"Acanthoeca spectabilis Ellis, 1930",,,species,,,,
147920,"Acanthocorbis asymmetrica (Thomsen) Hara & Takahashi, 1984",,,species,,,,
147921,"Acanthocorbis campanula (Espeland) Thomsen in Thomsen, Buck & Chavez, 1991",,,species,,,,
147922,"Acanthocorbis unguiculata (Thomsen) Hara & Takahashi, 1984",,,species,,,,
149938,"Acanthocorbis apoda (Leadbeater) Hara & Takahashi, 1984",,,species,,,,
149939,"Acanthocorbis haurakiana Thomsen in Thomsen, Buck & Chavez, 1991",,,species,,,,
118268,Stelexomonas,,,genus,,,,
118270,Salpingoeca,,,genus,,,,
118273,Aulomonas,,,genus,,,,
147603,Bicosta,,,genus,,,,
147604,Calliacantha,,,genus,,,,
147605,Pachysoeca,,,genus,,,,
150385,Pachysoeca ruttneri (Bourr.) Fott,,,species,,,,
150386,Pachysoeca urnula (Skuja) ?,,,species,,,,
147948,"Calliacantha natans (Grøntved) Leadbeater, 1978",,,species,,,,
150382,"Calliacantha longicaudata (Leadbeater) Leadbeater, 1978",,,species,,,,
150383,Calliacantha multispina Manton & Oates,,,species,,,,
150384,"Calliacantha simplex Manton & Oates, 1979",,,species,,,,
147946,"Bicosta minor (Reynolds) Leadbeater, 1978",,,species,,,,
147947,"Bicosta spinifera (Throndsen) Leadbeater, 1978",,,species,,,,
150381,"Bicosta antennigera Moestrup, 1979",,,species,,,,
118274,Aulomonas purdyi Lackey,,,species,,,,
118271,Salpingoeca frequentissima (Zacharias) Lemmermann,,,species,,,,
149806,Salpingoeca aggregata Valkanov,,,species,,,,
149807,Salpingoeca amphoridium James-Clark,,,species,,,,
149808,Salpingoeca collaris Stokes,,,species,,,,
149809,Salpingoeca gracilis Clark,,,species,,,,
149810,Salpingoeca inquillata Kent,,,species,,,,
149811,Salpingoeca marina James-Clark,,,species,,,,
149812,Salpingoeca minuta Kent,,,species,,,,
118269,Stelexomonas dichotoma Lackey,,,species,,,,
118263,Codosiga,,,genus,,,,
118265,Desmarella,,,genus,,,,
147601,Monosiga,,,genus,,,,
147602,Proterospongia,,,genus,,,,
151163,Sphaeroeca,,,genus,,,,
151257,Sphaeroeca volvox Lauterborn,,,species,,,,
147945,Proterospongia dybsoeënsis Grøntved,,,species,,,,
147944,Monosiga mikropelagica Throndsen,,,species,,,,
150379,Monosiga baltica Willén,,,species,,,,
150380,"Monosiga ovata Kent, 1880",,,species,,,,
151239,Monosiga micropelagica Throndsen,,,species,,,,
151240,Monosiga marina Grøntved,,,species,,,,
118266,Desmarella moniliformis Kent,,,species,,,,
118264,Codosiga botrytis (Ehrenberg) Kent,,,species,,,,
1453,Not_assigned_6337,,,order,,,,
1449,Amoebidiales,,,order,,,,
1450,Eccrinales,Eccrinales,Eccrinales,order,order,Exact match,0,0.75
1451,Not_assigned_6339,,,order,,,,
632,Eutardigrada,Eutardigrada,Eutardigrada,class,class,Exact match,0,0.75
635,Heterotardigrada,Heterotardigrada,Heterotardigrada,class,class,Exact match,0,0.75
638,Mesotardigrada,Mesotardigrada,Mesotardigrada,class,class,Exact match,0,0.75
639,Thermozodia,Thermozodia,Thermozodia,order,order,Exact match,0,0.75
636,Arthrotardigrada,Arthrotardigrada,Arthrotardigrada,order,order,Exact match,0,0.75
637,Echiniscoidea,Echiniscoidea,Echiniscoidea,order,order,Exact match,0,0.75
51909,Echiniscoididae,Echiniscoididae,Echiniscoididae,family,family,Exact match,0,0.75
137920,Echiniscidae,Echiniscidae,Echiniscidae,family,family,Exact match,0,0.75
142628,Bryodelphax,Bryodelphax,Bryodelphax,genus,genus,Exact match,0,0.75
142631,Diploechiniscus,,,genus,,,,
142633,Echiniscus,Echiniscus,Echiniscus,genus,genus,Exact match,0,0.75
142634,Emydium,,,genus,,,,
142638,Hypechiniscus,Hypechiniscus,Hypechiniscus,genus,genus,Exact match,0,0.75
142649,Proechiniscus,Proechiniscus,Proechiniscus,genus,genus,Exact match,0,0.75
142650,Pseudechiniscus,Pseudechiniscus,Pseudechiniscus,genus,genus,Exact match,0,0.75
142655,Testechiniscus,Testechiniscus,Testechiniscus,genus,genus,Exact match,0,0.75
142815,"Testechiniscus spitsbergensis (Scourfield, 1897)","Testechiniscus spitsbergensis (Scourfield, 1897)",Testechiniscus spitsbergensis,species,species,Exact match,0,0.999
142705,"Pseudechiniscus facettalis Petersen, 1951","Pseudechiniscus facettalis Petersen, 1951",Pseudechiniscus facettalis,species,species,Exact match,0,0.999
142714,"Pseudechiniscus hanneae Petersen, 1951","Pseudechiniscus hanneae Petersen, 1951",Pseudechiniscus hanneae,species,species,Exact match,0,0.999
142813,"Pseudechiniscus suillus (Ehrenberg, 1853)","Pseudechiniscus suillus (Ehrenberg, 1853)",Pseudechiniscus suillus,species,species,Exact match,0,0.999
142814,"Pseudechiniscus victor (Ehrenberg, 1853)","Pseudechiniscus victor (Ehrenberg, 1853)",Pseudechiniscus victor,species,species,Exact match,0,0.999
142871,"Pseudechiniscus islandicus (Richters, 1904)","Pseudechiniscus islandicus (Richters, 1904)",Pseudechiniscus islandicus,species,species,Exact match,0,0.999
142812,"Proechiniscus hanneae (Peterson, 1951)","Proechiniscus hanneae (Petersen, 1951)",Proechiniscus hanneae,species,species,Canonical form exact match,0,0.997
142708,"Hypechiniscus gladiator (Murray, 1905)","Hypechiniscus gladiator (Murray, 1905)",Hypechiniscus gladiator,species,species,Exact match,0,0.999
142888,"Hypechiniscus gladiator subsp. gladiator (Murray, 1905)","Hypechiniscus gladiator gladiator (Murray, 1905)",Hypechiniscus gladiator gladiator,subspecies,infraspecies,Canonical form exact match,0,1.0
142710,"Emydium granulatum Doyère, 1840","Emydium granulatum Doyère, 1840",Emydium granulatum,species,species,Exact match,0,0.999
142785,"Emydium spinulosus Doyère, 1840",,,species,,,,
142795,"Emydium testudo Doyère, 1840","Emydium testudo Doyère, 1840",Emydium testudo,species,species,Exact match,0,0.999
142669,"Echiniscus arctomys Ehrenberg, 1853","Echiniscus arctomys Ehrenberg, 1853",Echiniscus arctomys,species,species,Exact match,0,0.999
142682,"Echiniscus blumi Richters, 1903","Echiniscus blumi Richters, 1903",Echiniscus blumi,species,species,Exact match,0,0.999
142683,"Echiniscus capillatus Ramazzotti, 1956","Echiniscus capillatus Ramazzotti, 1956",Echiniscus capillatus,species,species,Exact match,0,0.999
142686,"Echiniscus columinis Murray, 1911","Echiniscus columinis Murray, 1911",Echiniscus columinis,species,species,Exact match,0,0.999
142707,"Echiniscus gladiator Murray, 1905","Echiniscus gladiator Murray, 1905",Echiniscus gladiator,species,species,Exact match,0,0.999
142724,"Echiniscus islandicus Richters, 1904","Echiniscus islandicus Richters, 1904",Echiniscus islandicus,species,species,Exact match,0,0.999
