taxonID,scientificName
142669,"Echiniscus arctomys Ehrenberg, 1853"
142682,"Echiniscus blumi Richters, 1903"
142683,"Echiniscus capillatus Ramazzotti, 1956"
142686,"Echiniscus columinis Murray, 1911"
142707,"Echiniscus gladiator Murray, 1905"
142724,"Echiniscus islandicus Richters, 1904"
142733,"Echiniscus merokensis Richters, 1903"
142735,"Echiniscus militaris Murray, 1911"
142746,"Echiniscus oihonnae Richters, 1903"
142757,"Echiniscus phocae Bois-Reymond Marcus, E. du, 1944."
142765,"Echiniscus quadrispinosus Richters, 1902"
142767,"Echiniscus reticulatus Murray, 1905"
142779,"Echiniscus sigismundi Schultze, 1865"
142780,"Echiniscus sinensis Pilato, 1974"
142784,"Echiniscus spiculifer Schaudinn, 1901"
142786,"Echiniscus spitsbergensis Scourfield, 1897"
142792,"Echiniscus suillus Ehrenberg, 1853"
142797,"Echiniscus trisetosus Cuénot, 1932"
142800,"Echiniscus victor Ehrenberg, 1853"
142806,"Echiniscus wendti Richters, 1903"
142811,"Echiniscus granulatus (Doyère, 1840)"
142869,"Echiniscus spinulosus (Doyère, 1840)"
142870,"Echiniscus testudo (Doyère, 1840)"
142883,"Echiniscus quadrispinosus subsp. quadrispinosus Richters, 1902"
142879,"Echiniscus merokensis subsp. merokensis Richters, 1903"
142884,"Echiniscus merokensis subsp. suecicus Thulin, 1911"
142872,"Echiniscus blumi subsp. blumi Richters, 1903"
142810,"Diploechiniscus oihonnae (Richters, 1903)"
142754,"Bryodelphax parvulus Thulin, 1928"
142755,"Bryodelphax parvuspolaris 'Kaczmarek, Zawierucha, Smykla, & Michalczyk, 2012"
142852,"Bryodelphax sinensis (Pilato, 1974)"
51910,Echiniscoides
51911,"Echiniscoides sigismundi (Schultze, 1865)"
142875,"Echiniscoides sigismundi subsp. groenlandicus Kristensen & Hallas, 1980"
142887,"Echiniscoides sigismundi subsp. sigismundi (Schultze, 1865)"
51906,Batillipedidae
51907,Batillipes
51908,"Batillipes mirus Richters, 1909"
633,Apochela
634,Parachela
137922,Eohypsibioidea
137923,Hypsibioidea
137924,Isohypsibioidea
137925,Macrobiotoidea
142613,Macrobiotidae
142614,Murrayidae
142630,Dactylobiotus
142646,Murrayon
142848,"Murrayon dianeae (Kristensen, 1982)"
142849,"Murrayon hastatus (Murray, 1907)"
142850,"Murrayon hibernicus (Murray, 1911)"
142851,"Murrayon pullari (Murray, 1907)"
142743,"Dactylobiotus octavi Guidetti, Altiero & Hansen, 2006"
142845,"Dactylobiotus ambiguus (Murray, 1907)"
142846,"Dactylobiotus ampullaceus (Thulin, 1911)"
142847,"Dactylobiotus dispar (Murray, 1907)"
142855,"Dactylobiotus macronyx (Dujardin, 1851)"
142622,Adorybiotus
142640,Macrobiotus
142644,Minibiotus
142647,Paramacrobiotus
142653,Richtersius
142654,Tenuibiotus
142854,"Tenuibiotus willardi (Pilato, 1977)"
