Name,Authority,AuthorityKey,*Rank,*GenusNamePart,*SpeciesNamePart,*Epithet,*AuthorPersonIDs,*PublicationID,*Volume,*StartPage,*TitlePageYear ,*NameKind ,*NextHigherTaxonNameID,*BasionymNameID ,
Explanation,The source of the data,Unique record identifier for the source.,Rank name,Genus name part ,Species name part,"Epithet. If below rank of genus, the single name part goes here","Author person IDs, comma separated",Tropicos publication ID,Volume,StartPage,Title page year,Name kind ,Tropicos NameID for NHT,Tropicos NameID for basionym ,
Oxytropis yazdi,ILDIS,19530,species,Oxytropis,yazdi,,Vassilcz.,,,,,Taxon,40035614,,"Vassilchenko,I.T. 1988 Bjull.Mosk.Obsc.Isp.Prir.,Otd.Biol.93:97-102. New spp.Oxytro"
Oxytropis zangolehensis,ILDIS,19529,species,Oxytropis,zangolehensis,,Vassilcz.,,,,,Taxon,40035614,,"Vassilchenko,I.T. 1988 Bjull.Mosk.Obsc.Isp.Prir.,Otd.Biol.93:97-102. New spp.Oxytro"
Psoralea trullata,ILDIS,5064,species,Psoralea,trullata,,C.H. Stirt.,,,,,Taxon,40019102,,"Bond,P. & Goldblatt,P. 1984 J.S.Afr.Bot.Special Vol.13. Plants of the Cape Flora."
Rhynchosia laetissima,ILDIS,2106,species,Rhynchosia,laetissima,,Baker,,,,,Taxon,40025447,,"Torre,A.R. et al. 1966 Papilionoideae.In:Consp.Fl.Angolensis 3.Exell & Fernandez"
Rhynchosia macrantha,ILDIS,2113,species,Rhynchosia,macrantha,,Hauman,,,,,Taxon,40025447,,"Robyns,W.(Ed.) 1954 Flore du Congo Belge Vol.6. Dalbergieae,Vicieae,Phaseoleae"
Rhynchosia nepalensis,ILDIS,24075,species,Rhynchosia,nepalensis,,H. Ohashi & Tateishi,,,,,Combination,40025447,,"Ohashi,H. 1979 Leguminosae In:Hara&Williams:EnumerationFlwingPl.Nepal2:103-"
Securigera charadzeae,ILDIS,25107,species,Securigera,charadzeae,,(Chinth. & Tschuchr.) Czerep.,,,,,Combination,40034671,,"Czerepanov, S.K. 1995 Vascular plants of Russia and Adjacent States ..."
Tephrosia barbatala,ILDIS,25067,species,Tephrosia,barbatala,,Bosman & de Haas,,,,,Combination,40011147,,"Bosman,M.T.M. & de Haas,A.J.P. 1983 Blumea 28(2): 421-487. A revision of the genus Tephrosia"
Tephrosia elliptica,ILDIS,25070,species,Tephrosia,elliptica,,Bosman & de Haas,,,,,Combination,40011147,,"Bosman,M.T.M. & de Haas,A.J.P. 1983 Blumea 28(2): 421-487. A revision of the genus Tephrosia"
Teyleria barbata,ILDIS,22737,species,Teyleria,barbata,,(Craib) Maesen,,,,,Combination,40012491,,"Van der Maesen,L.J.G. 1985 Agric.Univ.Wageningen Papers 85-1:1-132.Rev.of Pueraria"
Teyleria tetragona,ILDIS,22738,species,Teyleria,tetragona,,(Merr.) Maesen,,,,,Combination,40012491,,"Van der Maesen,L.J.G. 1985 Agric.Univ.Wageningen Papers 85-1:1-132.Rev.of Pueraria"
Thermopsis longicarpa,ILDIS,26175,species,Thermopsis,longicarpa,,N. Ulziykh.,,,,,Taxon,40013168,,"Grubov,V.I. 1982 Key to the vascular plants of Mongolia. Leningrad. (Rus)"
Trigonella cedretorum,ILDIS,18263,species,Trigonella,cedretorum,,Vassilcz.,,,,,Taxon,40018305,,"Vassilczenko,I. 1985 Novo.Sistem.Vyss.Rast.22:143-146.Gen.Trigonella..nov.Afghan'"
Trigonella edelbergii,ILDIS,18265,species,Trigonella,edelbergii,,(Širj. & Rech. f.) Rech,,,,,Combination,40018305,,"Rechinger, K.H. 1984 In:Flora Iranica. Papilionaceae 2. N 157. Graz-Austria."
Trigonella heratensis,ILDIS,18272,species,Trigonella,heratensis,,Rech. f.,,,,,Taxon,40018305,,"Rechinger, K.H. 1984 In:Flora Iranica. Papilionaceae 2. N 157. Graz-Austria."
Trigonella laxissima,ILDIS,18278,species,Trigonella,laxissima,,Vassilcz.,,,,,Taxon,40018305,,"Vassilczenko,I. 1983 Novo.Sistem.Vyss.Rast.20:126-127.Gen.Trigonella..nov.Afghan'"
Trigonella marco-poloi,ILDIS,18282,species,Trigonella,marco-poloi,,Vassilcz.,,,,,Taxon,40018305,,"Vassilczenko,I. 1985 Novo.Sistem.Vyss.Rast.22:143-146.Gen.Trigonella..nov.Afghan'"
Trigonella podlechii,ILDIS,18284,species,Trigonella,podlechii,,Vassilcz.,,,,,Taxon,40018305,,"Vassilczenko,I. 1985 Novo.Sistem.Vyss.Rast.22:143-146.Gen.Trigonella..nov.Afghan'"
Trigonella pycnotricha,ILDIS,18285,species,Trigonella,pycnotricha,,Rech. f.,,,,,Taxon,40018305,,"Rechinger, K.H. 1984 In:Flora Iranica. Papilionaceae 2. N 157. Graz-Austria."
Trigonella xeromorpha,ILDIS,18293,species,Trigonella,xeromorpha,,Rech. f.,,,,,Taxon,40018305,,"Rechinger, K.H. 1984 In:Flora Iranica. Papilionaceae 2. N 157. Graz-Austria."
Uraria campanulata,ILDIS,22585,species,Uraria,campanulata,,(Benth.) Gagnep.,,,,,Combination,40021796,,"Thuan,N. et al. 1987 In: Flore du Cambodge, du Laos et du Vietnam, Vol. 23.P."
Uraria lagopodoides,ILDIS,16384,species,Uraria,lagopodoides,,(L.) DC.,,,,,Combination,40021796,,"Verdcourt,B. 1979 A Manual of New Guinea Legumes. Office of Forests, Lae,PNG"
Vicia afghanica,ILDIS,18609,species,Vicia,afghanica,,Chrtkova,,,,,Combination,40024113,,"Rechinger,K.H. 1979 Flora Iranica: Papilionaceae I - Vicieae"
Vicia janeae,ILDIS,26188,species,Vicia,janeae,,Mardal.,,,,,Taxon,40024113,,"Mardalejschvili, T.K. 1980 Bot.Zhurn.(Leningrad),65,12:1792-1795. A new interesting ..."
Vicia nipponia,ILDIS,19815,species,Vicia,nipponia,,Matsum.,,,,,Taxon,40024113,,"Ohwi,J. 1965 Flora of Japan. Washington: Smithsonian Institution"
Vicia nipponica,ILDIS,19576,species,Vicia,nipponica,,Matsum.,,,,,Taxon,40024113,,"Pavlova,N.S. 1989 Fabaceae. In Plantae...Orientis Extremi.Vol.4.Leningrad(Rus)"
Vicia olchonensis,ILDIS,26185,species,Vicia,olchonensis,,(Peschkova) O.D. Nikif.,,,,,Combination,40024113,,"Nikiforova, O.D. 1994 In:Flora Sibiriae, Vol.9, Fabaceae. Novosibirsk. (Rus)"
Vicia pseudorobus,ILDIS,19816,species,Vicia,pseudorobus,,Fisch. & C.A. Mey.,,,,,Combination,40024113,,"Ohwi,J. 1965 Flora of Japan. Washington: Smithsonian Institution"
Vicia sojakii,ILDIS,18621,species,Vicia,sojakii,,Chrtkova,,,,,Taxon,40024113,,"Rechinger,K.H. 1979 Flora Iranica: Papilionaceae I - Vicieae"
Vigna bournaea,ILDIS,24083,species,Vigna,bournaea,,Gamble,,,,,Taxon,40024224,,"Marechal,R. et al. 1978 Boissiera 28:1-273 ...Phaseolus et Vigna..."
Vigna monantha,ILDIS,20468,species,Vigna,monantha,,Thulin,,,,,Taxon,40024224,,"Thulin,M. 1991 Nord.J.Bot. 11:543-547 Two new species of Vigna from Somali"
Vigna mudenia,ILDIS,20469,species,Vigna,mudenia,,B.J. Pienaar,,,,,Taxon,40024224,,"Pienaar,B.J. 1991 S.Afr.J.Bot.57:314-318 A new species of Vigna from S.Africa"
Vigna nyangensis,ILDIS,15638,species,Vigna,nyangensis,,R. Mithen & H. Kibblewhite,,,,,Combination,40024224,,"Mithen,R. & Kibblewhite,H. 1989 Kew Bull. 44:175-177.New sp. Vigna from southern Africa"
Xipotheca elliptica,ILDIS,2887,species,Xiphotheca,elliptica,, (DC.) A.L.Schutte & B.-E. van Wyk ,,,,,Combination,40027498,,"Schutte, A.L. 1997 Ann.Misouri Bot.Gard.84:90-102...revision of Xipotheca."
