TaxonId;kingdom;subkingdom;phylum;subphylum;superclass;class;subclass;cohort;superorder;order;suborder;infraorder;superfamily;family;subfamily;tribe;subtribe;genus;subgenus;section;species;subspecies;variety;form;ScientificNameAuthorship
147464;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Savillea;;;;;;;
147465;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Stephanoeca;;;;;;;W.N.Ellis
147934;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Stephanoeca;;;complexa;;;;(Norris) Throndsen, 1974
147935;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Stephanoeca;;;diplocostata;;;;Ellis, 1930
147936;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Stephanoeca;;;elegans;;;;(Norris) Throndsen, 1974
147937;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Stephanoeca;;;kentii;;;;Ellis, 1930
149958;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Stephanoeca;;;apheles;;;;Thomsen, Buck & Chavez, 1991
149959;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Stephanoeca;;;cupula;;;;(Leadbeater) Thomsen, 1988
149960;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Stephanoeca;;;norrisii;;;;Thomsen, 1973
149961;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Stephanoeca;;;urnula;;;;Thomsen, 1973
149956;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Savillea;;;micropora;;;;(Norris) Leadbeater, 1975
149957;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Savillea;;;parva;;;;(Ellis) Loeblich III, 1967
149955;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Saroeca;;;attenuata;;;;Thomsen, 1979
149954;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Saepicula;;;pulchra;;;;Leadbeater, 1980
149953;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Polyoeca;;;dichotoma;;;;(Kent, 1881)
147933;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Polyfibula;;;sphyrelata;;;;(Thomsen) Manton in Manton & Bremer, 1981
147930;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Pleurasiga;;;echinocostata;;;;Espeland in Espeland & Throndsen, 1986
147931;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Pleurasiga;;;minima;;;;Throndsen, 1970
