TaxonId,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,cohort,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,section,species,subspecies,variety,form,ScientificNameAuthorship
147457,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PARVICORBICULA,,,,,,,Deflandre
147458,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PLATYPLEURA,,,,,,,
147459,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PLEURASIGA,,,,,,,J.Schiller
147460,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,POLYFIBULA,,,,,,,
147461,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,POLYOECA,,,,,,,
147462,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,SAEPICULA,,,,,,,
147463,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,SAROECA,,,,,,,
147464,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,SAVILLEA,,,,,,,
147465,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,STEPHANOECA,,,,,,,W.N.Ellis
147934,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,STEPHANOECA,,,COMPLEXA,,,,"(Norris) Throndsen, 1974"
147935,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,STEPHANOECA,,,DIPLOCOSTATA,,,,"Ellis, 1930"
147936,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,STEPHANOECA,,,ELEGANS,,,,"(Norris) Throndsen, 1974"
147937,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,STEPHANOECA,,,KENTII,,,,"Ellis, 1930"
149958,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,STEPHANOECA,,,APHELES,,,,"Thomsen, Buck & Chavez, 1991"
149959,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,STEPHANOECA,,,CUPULA,,,,"(Leadbeater) Thomsen, 1988"
