ID,scientificName,count
181,"ANOMALUM","       284"
182,"ANSELLIA","       788"
183,"ARAUCARIEAE","       657"
184,"ARCEUTHOS","       182"
185,"ARGUTA","       2227"
186,"ARTANEMA","       313"
187,"AUSTRALICA","       833"
188,"AYTONIA","       305"
189,"Aa achalensis Schltr. 1920","       3"
190,"Aa argyrolepis Rchb. f.","       11"
191,"Aa brevis Schltr.","       12"
192,"Aa colombiana Schltr.","       3"
193,"Aa colombiana Schltr. 1920","       1"
194,"Aa denticulata","       1"
195,"Aa denticulata Schltr.","       29"
196,"Aa erosa (Rchb.f.) Schltr. 1912","       6"
197,"Aa fiebrigii (Schltr.) Schltr. 1912","       1"
198,"Aa filamentosa Mansf.","       22"
199,"Aa hartwegii Garay","       5"
200,"Aa hieronymi (Cogn.) Schltr.","       4"
201,"Aa inaequalis (Rchb.f.) Schltr.","       3"
202,"Aa inaequalis (Rchb.f.) Schltr. 1912","       9"
203,"Aa lechleri Schltr.","       3"
204,"Aa leucantha (Rchb.f.) Schltr.","       3"
205,"Aa leucantha (Rchb.f.) Schltr. 1920","       27"
206,"Aa lorentzii Schltr.","       2"
207,"Aa lorentzii Schltr., 1920","       3"
208,"Aa mandonii (Rchb.f.) Schltr. 1912","       2"
209,"Aa matthewsii (Rchb.f.) Schltr. 1912","       1"
210,"Aa nervosa (Kraenzl.) (1912)","       1"
211,"Aa nervosa (Kraenzl.) Schltr.","       18"
